time,BatC1,BatC2
1565883906.533,455.87,458.18
1565883911.333,13.62,2.4
1565883917.333,889.4,876.1
1565883932.933,456.02,458.18
1565883937.733,13.6,2.24
1565883943.733,889.28,875.9
1565883960.533,456.02,458.23
1565883965.333,13.63,2.31
1565883971.333,889.44,876.02
1565883986.933,456.09,458.2
1565883991.733,13.64,2.38
1565883997.733,889.44,876.13
1565884013.333,455.87,458.16
1565884018.1330001,13.63,2.33
1565884024.1330001,889.43,876.02
1565884040.933,455.94,458.23
1565884045.733,13.6,2.26
1565884051.733,889.43,875.95
1565884067.333,455.93,458.21
1565884072.1330001,13.61,2.27
1565884078.1330001,889.31,875.86
1565884093.733,455.9,458.18
1565884098.533,13.63,2.31
1565884104.533,889.42,876.03
1565884121.333,455.93,458.17
1565884124.933,13.66,2.2
1565884130.933,889.5,875.9
1565884147.733,455.91,458.17
1565884152.533,13.67,2.19
1565884158.533,889.46,875.85
1565884174.1330001,455.91,458.21
1565884178.933,13.7,2.35
1565884184.933,889.55,876.1
1565884201.733,455.88,458.24
1565884205.333,13.61,2.28
1565884211.333,889.5,876.13
1565884228.1330001,456.0,458.15
1565884232.933,13.67,2.82
1565884238.933,889.44,876.45
1565884254.533,455.99,458.18
1565884259.333,13.67,2.49
1565884265.333,889.34,876.12
1565884280.933,455.95,458.2
1565884285.733,13.57,2.26
1565884291.733,889.23,875.84
1565884308.533,455.94,458.19
1565884313.333,13.6,2.2
1565884319.333,889.29,875.75
1565884334.933,455.97,458.23
1565884339.733,13.65,2.56
1565884345.733,889.3,876.12
1565884361.333,455.95,458.21
1565884366.1330001,13.61,2.49
1565884372.1330001,889.33,876.06
1565884388.933,455.93,458.24
1565884393.733,13.6,2.32
1565884399.733,889.37,875.89
1565884415.333,455.91,458.23
1565884420.1330001,13.61,2.43
1565884426.1330001,889.35,876.08
1565884441.733,455.91,458.17
1565884446.533,13.61,2.37
1565884452.533,889.48,876.05
1565884469.333,455.91,458.25
1565884472.933,13.61,2.3
1565884478.933,889.29,875.92
1565884495.733,455.92,458.25
1565884500.533,13.58,2.18
1565884506.533,889.43,875.8
1565884522.1330001,455.97,458.17
1565884526.933,13.6,2.38
1565884532.933,889.43,876.14
1565884549.733,455.87,458.18
1565884553.333,13.57,2.45
1565884559.333,889.39,875.84
1565884576.1330001,455.98,458.19
1565884580.933,13.54,2.2
1565884586.933,889.7,875.67
1565884602.533,455.97,458.26
1565884607.333,13.74,2.24
1565884613.333,889.82,875.53
1565884630.1330001,455.92,458.21
1565884633.733,13.8,2.2
1565884639.733,889.94,875.55
1565884656.533,456.08,458.18
1565884661.333,13.7,2.04
1565884667.333,889.74,875.27
1565884682.933,455.87,458.18
1565884687.733,13.78,2.19
1565884693.733,889.8,875.43
1565884709.333,456.05,458.17
1565884714.1330001,13.82,2.25
1565884720.1330001,889.88,875.55
1565884736.933,455.92,458.23
1565884741.733,13.78,2.35
1565884747.733,889.81,875.72
1565884763.333,455.93,458.21
1565884768.1330001,13.74,2.32
1565884774.1330001,889.76,875.6
1565884789.733,455.89,458.21
1565884794.533,13.8,2.28
1565884800.533,889.7,875.49
1565884817.333,455.91,458.23
1565884822.1330001,13.72,2.21
1565884828.1330001,889.75,875.47
1565884843.733,455.9,458.21
1565884848.533,13.74,2.16
1565884854.533,889.82,875.33
1565884870.1330001,456.03,458.17
1565884874.933,13.77,2.55
1565884880.933,889.67,876.01
1565884897.733,456.01,458.18
1565884901.333,13.73,2.33
1565884907.333,889.53,875.64
1565884924.1330001,455.92,458.23
1565884928.933,13.62,2.33
1565884934.933,889.23,875.83
1565884950.533,455.87,458.22
1565884955.333,13.54,2.36
1565884961.333,889.21,875.94
1565884978.1330001,456.15,458.22
1565884981.733,13.62,2.22
1565884987.733,889.27,875.72
1565885004.533,455.92,458.19
1565885009.333,13.59,2.18
1565885015.333,889.41,875.67
1565885030.933,455.87,458.14
1565885035.733,13.61,2.14
1565885041.733,889.36,875.64
1565885057.333,456.03,458.21
1565885062.1330001,13.64,2.53
1565885068.1330001,889.39,876.12
1565885084.933,455.96,458.26
1565885089.733,13.63,2.3
1565885095.733,889.42,875.81
1565885111.333,455.98,458.21
1565885116.1330001,13.63,2.23
1565885122.1330001,889.39,875.75
1565885137.733,455.86,458.18
1565885142.533,13.61,2.2
1565885148.533,889.36,875.72
1565885165.333,455.88,458.17
1565885170.1330001,13.61,2.35
1565885176.1330001,889.43,875.94
1565885191.733,455.92,458.2
1565885196.533,13.61,2.56
1565885202.533,889.34,876.34
1565885218.1330001,455.89,458.18
1565885222.933,13.57,2.48
1565885228.933,889.45,876.33
1565885245.733,455.92,458.24
1565885249.333,13.66,2.37
1565885255.333,889.59,876.21
1565885272.1330001,455.89,458.21
1565885276.933,13.68,2.58
1565885282.933,889.62,876.39
1565885298.533,455.91,458.23
1565885303.333,13.71,2.32
1565885309.333,889.63,876.14
1565885326.1330001,455.94,458.23
1565885329.733,13.62,2.3
1565885335.733,889.38,876.05
1565885352.533,455.95,458.23
1565885357.333,13.66,2.33
1565885363.333,889.48,876.07
1565885378.933,455.93,458.21
1565885383.733,13.65,2.39
1565885389.733,889.52,876.16
1565885406.533,455.93,458.23
1565885410.1330001,13.67,2.4
1565885416.1330001,889.48,876.36
1565885432.933,455.92,458.2
