time,C1M2Ctime,C2M2Ctime
1565883906.533,2.327404,2.338735
1565883917.333,2.313998,2.331586
1565883932.933,2.32741,2.338728
1565883943.733,2.313999,2.331594
1565883960.533,2.327416,2.338702
1565883971.333,2.314005,2.331634
1565883986.933,2.327406,2.338707
1565883997.733,2.313982,2.331486
1565884013.333,2.327435,2.33873
1565884024.1330001,2.313981,2.331773
1565884040.933,2.327412,2.338734
1565884051.733,2.313994,2.331652
1565884067.333,2.327397,2.338728
1565884078.1330001,2.313979,2.331624
1565884093.733,2.327391,2.338751
1565884104.533,2.313997,2.331607
1565884121.333,2.327402,2.338742
1565884130.933,2.313983,2.33167
1565884147.733,2.327418,2.338748
1565884158.533,2.313999,2.331644
1565884174.1330001,2.327419,2.338732
1565884184.933,2.313969,2.33164
1565884201.733,2.327412,2.338648
1565884211.333,2.313992,2.331688
1565884228.1330001,2.32742,2.338654
1565884238.933,2.314006,2.331559
1565884254.533,2.32741,2.33875
1565884265.333,2.314007,2.331658
1565884280.933,2.327413,2.338742
1565884291.733,2.314012,2.331669
1565884308.533,2.327405,2.338672
1565884319.333,2.314015,2.331641
1565884334.933,2.327431,2.338678
1565884345.733,2.314014,2.331659
1565884361.333,2.32742,2.338708
1565884372.1330001,2.313995,2.331711
1565884388.933,2.32741,2.33869
1565884399.733,2.314031,2.331574
1565884415.333,2.327391,2.338696
1565884426.1330001,2.314019,2.331628
1565884441.733,2.327385,2.338719
1565884452.533,2.314001,2.331689
1565884469.333,2.327416,2.338735
1565884478.933,2.314005,2.331674
1565884495.733,2.327397,2.338695
1565884506.533,2.314003,2.3316
1565884522.1330001,2.327404,2.338761
1565884532.933,2.313974,2.331606
1565884549.733,2.32741,2.338726
1565884559.333,2.313972,2.331561
1565884576.1330001,2.327416,2.338716
1565884586.933,2.313959,2.331727
1565884602.533,2.327419,2.338727
1565884613.333,2.314018,2.3317
1565884630.1330001,2.327427,2.338746
1565884639.733,2.314028,2.331626
1565884656.533,2.327426,2.338724
1565884667.333,2.314003,2.331636
1565884682.933,2.327417,2.338709
1565884693.733,2.313996,2.331677
1565884709.333,2.327419,2.338694
1565884720.1330001,2.314007,2.331569
1565884736.933,2.327392,2.338685
1565884747.733,2.314013,2.331701
1565884763.333,2.327427,2.338714
1565884774.1330001,2.313982,2.331567
1565884789.733,2.327398,2.338707
1565884800.533,2.313999,2.331563
1565884817.333,2.327417,2.338715
1565884828.1330001,2.314012,2.331672
1565884843.733,2.327415,2.338693
1565884854.533,2.313961,2.331765
1565884870.1330001,2.327409,2.338728
1565884880.933,2.313995,2.331677
1565884897.733,2.327412,2.338721
1565884907.333,2.314005,2.33169
1565884924.1330001,2.32742,2.338712
1565884934.933,2.313982,2.331608
1565884950.533,2.327408,2.338746
1565884961.333,2.314011,2.331445
1565884978.1330001,2.327417,2.338733
1565884987.733,2.314008,2.331643
1565885004.533,2.327421,2.33876
1565885015.333,2.314026,2.331653
1565885030.933,2.327422,2.33868
1565885041.733,2.31402,2.331648
1565885057.333,2.327388,2.338729
1565885068.1330001,2.314014,2.331572
1565885084.933,2.327394,2.338745
1565885095.733,2.314037,2.331597
1565885111.333,2.327383,2.338753
1565885122.1330001,2.314001,2.33152
1565885137.733,2.327396,2.338704
1565885148.533,2.314007,2.331667
1565885165.333,2.327398,2.338699
1565885176.1330001,2.31404,2.331646
1565885191.733,2.327408,2.338716
1565885202.533,2.31402,2.331602
1565885218.1330001,2.327422,2.338722
1565885228.933,2.314035,2.331649
1565885245.733,2.327406,2.33866
1565885255.333,2.313988,2.331733
1565885272.1330001,2.327405,2.338747
1565885282.933,2.314015,2.331599
1565885298.533,2.327442,2.33872
1565885309.333,2.313988,2.331738
1565885326.1330001,2.327427,2.338725
1565885335.733,2.314019,2.331632
1565885352.533,2.327433,2.338715
1565885363.333,2.313997,2.331638
1565885378.933,2.327419,2.338743
1565885389.733,2.313996,2.33161
1565885406.533,2.327385,2.338738
1565885416.1330001,2.313997,2.331647
1565885432.933,2.327381,2.338761
1565885443.733,2.314029,2.331648
1565885459.333,2.3274,2.33876
1565885470.1330001,2.314021,2.331637
1565885485.733,2.327397,2.338752
1565885496.533,2.31398,2.331665
1565885513.333,2.327414,2.338765
1565885524.1330001,2.313998,2.331674
1565885539.733,2.327415,2.338782
1565885550.533,2.31402,2.33168
1565885566.1330001,2.327402,2.338733
1565885576.933,2.313958,2.331633
1565885593.733,2.327407,2.338702
1565885604.533,2.314001,2.331675
1565885620.1330001,2.327418,2.338658
1565885630.933,2.314014,2.331659
1565885646.533,2.327418,2.33868
1565885657.333,2.313995,2.331755
1565885674.1330001,2.327414,2.338729
1565885683.733,2.31401,2.331575
1565885700.533,2.327404,2.338776
1565885711.333,2.314013,2.331595
1565885726.933,2.327427,2.338682
1565885737.733,2.313988,2.331714
1565885754.533,2.3274,2.338691
1565885764.1330001,2.314,2.331574
1565885780.933,2.327385,2.338774
1565885791.733,2.314001,2.331581
1565885807.333,2.327402,2.338694
1565885818.1330001,2.313991,2.331509
1565885833.733,2.327375,2.338742
1565885844.533,2.313991,2.33173
1565885861.333,2.327411,2.338712
1565885872.1330001,2.314005,2.331607
1565885887.733,2.327411,2.338719
1565885898.533,2.314001,2.331706
1565885914.1330001,2.327416,2.338724
1565885924.933,2.313983,2.331457
1565885941.733,2.327406,2.33873
1565885952.533,2.314005,2.331613
1565885968.1330001,2.327419,2.338687
1565885978.933,2.313979,2.331588
1565885994.533,2.327414,2.338742
1565886005.333,2.313971,2.331629
1565886022.1330001,2.327416,2.33873
1565886031.733,2.314006,2.331634
1565886048.533,2.327419,2.338734
1565886059.333,2.313999,2.331686
1565886074.933,2.327419,2.338754
1565886085.733,2.314019,2.331646
1565886102.533,2.327383,2.33878
1565886112.1330001,2.314001,2.331652
1565886128.933,2.327401,2.338731
1565886139.733,2.314027,2.331583
1565886155.333,2.327399,2.338748
1565886166.1330001,2.313972,2.331664
1565886182.933,2.327403,2.338703
1565886192.533,2.314003,2.331647
1565886209.333,2.327418,2.338748
1565886220.1330001,2.313989,2.331676
1565886235.733,2.327399,2.338739
1565886246.533,2.314042,2.331668
1565886262.1330001,2.32741,2.33872
1565886272.933,2.314014,2.331629
1565886289.733,2.327412,2.33872
1565886300.533,2.314014,2.331658
1565886316.1330001,2.327413,2.33866
1565886326.933,2.314003,2.331546
1565886342.533,2.327421,2.338688
1565886353.333,2.314014,2.331635
1565886370.1330001,2.327418,2.338672
1565886379.733,2.314004,2.331687
1565886396.533,2.327409,2.338752
1565886407.333,2.31401,2.33165
1565886422.933,2.327423,2.338684
1565886433.733,2.313987,2.331674
1565886450.533,2.327398,2.33869
1565886460.1330001,2.313983,2.331624
1565886476.933,2.327405,2.338758
1565886487.733,2.314033,2.331582
1565886503.333,2.327408,2.338702
1565886514.1330001,2.313991,2.331737
1565886530.933,2.327393,2.338708
1565886540.533,2.31401,2.331591
1565886557.333,2.327404,2.338686
1565886568.1330001,2.313993,2.3316
1565886583.733,2.327418,2.338701
1565886594.533,2.314016,2.331525
1565886610.1330001,2.327398,2.338726
1565886620.933,2.313982,2.33168
1565886637.733,2.32741,2.338707
1565886648.533,2.313982,2.33165
1565886664.1330001,2.32742,2.338738
1565886674.933,2.314003,2.331624
1565886690.533,2.327416,2.338723
1565886701.333,2.313987,2.331626
1565886718.1330001,2.327439,2.338726
1565886728.933,2.314035,2.33156
1565886744.533,2.327412,2.33874
1565886755.333,2.31402,2.331618
1565886770.933,2.327396,2.338694
1565886781.733,2.313987,2.331649
1565886798.533,2.327388,2.338747
1565886808.1330001,2.314006,2.331623
1565886824.933,2.327408,2.338744
1565886835.733,2.313977,2.331573
1565886851.333,2.327382,2.338755
1565886862.1330001,2.313978,2.33165
1565886878.933,2.327397,2.338737
1565886888.533,2.313997,2.331721
1565886905.333,2.327397,2.338722
1565886916.1330001,2.313987,2.331525
1565886931.733,2.327405,2.338644
1565886942.533,2.314019,2.331562
1565886958.1330001,2.327422,2.338752
1565886968.933,2.313992,2.331509
1565886985.733,2.327416,2.338704
1565886996.533,2.31397,2.331665
1565887012.1330001,2.327432,2.33875
1565887022.933,2.31401,2.331702
1565887038.533,2.327404,2.338736
1565887049.333,2.313995,2.331744
1565887066.1330001,2.327422,2.338719
1565887076.933,2.314025,2.331561
1565887092.533,2.327402,2.338734
1565887103.333,2.314009,2.331652
1565887118.933,2.327383,2.338731
1565887129.733,2.313995,2.331597
1565887146.533,2.327396,2.33869
1565887156.1330001,2.313988,2.331544
1565887172.933,2.327407,2.338756
1565887183.733,2.314008,2.331682
1565887199.333,2.327387,2.338704
1565887210.1330001,2.314016,2.331591
1565887226.933,2.327401,2.338766
1565887236.533,2.314006,2.331707
1565887253.333,2.327409,2.338716
1565887264.1330001,2.313973,2.331597
1565887279.733,2.327415,2.338693
1565887290.533,2.313983,2.331625
1565887307.333,2.327402,2.338719
1565887316.933,2.313998,2.331614
1565887333.733,2.327432,2.338694
1565887344.533,2.314006,2.331621
1565887360.1330001,2.327414,2.33871
1565887370.933,2.31401,2.331753
1565887386.533,2.327417,2.338731
1565887397.333,2.314003,2.331604
1565887414.1330001,2.327425,2.338702
1565887424.933,2.313964,2.331674
1565887440.533,2.327433,2.338754
1565887451.333,2.313985,2.331734
1565887466.933,2.327396,2.33868
1565887477.733,2.313991,2.331561
1565887494.533,2.327386,2.338723
1565887505.333,2.31399,2.331564
1565887520.933,2.327406,2.338697
1565887531.733,2.313976,2.331509
1565887547.333,2.32741,2.338735
1565887558.1330001,2.313959,2.331706
1565887574.933,2.327425,2.338754
1565887584.533,2.314009,2.331683
1565887601.333,2.327414,2.338742
1565887612.1330001,2.313998,2.331747
1565887627.733,2.327389,2.338647
1565887638.533,2.314024,2.33166
1565887655.333,2.327401,2.338757
1565887664.933,2.314018,2.331604
1565887681.733,2.327429,2.338754
1565887692.533,2.314034,2.331661
1565887708.1330001,2.327421,2.33867
1565887718.933,2.314018,2.33162
1565887734.533,2.327419,2.338753
1565887745.333,2.314023,2.331557
1565887762.1330001,2.327413,2.338722
1565887772.933,2.313998,2.331563
1565887788.533,2.327415,2.338656
1565887799.333,2.313999,2.331708
1565887814.933,2.327396,2.338726
1565887825.733,2.314024,2.331597
1565887842.533,2.327406,2.338695
1565887853.333,2.313988,2.33162
1565887868.933,2.327409,2.338701
1565887879.733,2.314019,2.331587
1565887895.333,2.327404,2.338694
1565887906.1330001,2.314023,2.331655
1565887922.933,2.327406,2.338768
1565887932.533,2.314023,2.331635
1565887949.333,2.327418,2.338714
1565887960.1330001,2.314015,2.331578
1565887975.733,2.327413,2.338718
1565887986.533,2.314015,2.331611
1565888003.333,2.327402,2.33873
1565888012.933,2.31402,2.331617
1565888029.733,2.327413,2.338704
1565888040.533,2.314005,2.331639
1565888056.1330001,2.327413,2.338732
1565888066.933,2.313982,2.331609
1565888083.733,2.32741,2.338776
1565888093.333,2.314029,2.331633
1565888110.1330001,2.327435,2.338708
1565888120.933,2.314023,2.331671
1565888136.533,2.327423,2.338725
1565888147.333,2.313996,2.331647
1565888162.933,2.327399,2.338734
1565888173.733,2.314012,2.33164
1565888190.533,2.327392,2.338723
1565888201.333,2.314,2.331499
1565888216.933,2.327397,2.338729
1565888227.733,2.314007,2.331613
1565888243.333,2.32741,2.338747
1565888254.1330001,2.314048,2.33165
1565888270.933,2.32741,2.338749
1565888281.733,2.313999,2.331653
1565888297.333,2.327415,2.338708
1565888308.1330001,2.313996,2.331634
1565888323.733,2.327423,2.338696
1565888334.533,2.31399,2.331689
1565888351.333,2.327405,2.338713
1565888360.933,2.314009,2.331707
1565888377.733,2.327408,2.338734
1565888388.533,2.314008,2.331581
1565888404.1330001,2.32741,2.338734
1565888414.933,2.313992,2.331696
1565888431.733,2.327432,2.338705
1565888441.333,2.313995,2.331728
1565888458.1330001,2.327403,2.338736
1565888468.933,2.314004,2.331719
1565888484.533,2.327432,2.338685
1565888495.333,2.313998,2.331692
1565888510.933,2.327389,2.338771
1565888521.733,2.313983,2.33169
1565888538.533,2.327398,2.33871
1565888549.333,2.313997,2.331632
1565888564.933,2.327399,2.338702
1565888575.733,2.314001,2.331732
1565888591.333,2.327411,2.338709
1565888602.1330001,2.313997,2.331595
1565888618.933,2.327419,2.338781
1565888629.733,2.314018,2.331696
1565888645.333,2.327425,2.338721
1565888656.1330001,2.313977,2.331689
1565888671.733,2.327408,2.338705
1565888682.533,2.314003,2.331562
1565888699.333,2.32742,2.338728
1565888708.933,2.314017,2.3316
1565888725.733,2.327405,2.338713
1565888736.533,2.313986,2.331599
1565888752.1330001,2.327433,2.338727
1565888762.933,2.313991,2.331616
1565888779.733,2.327413,2.338716
1565888789.333,2.313994,2.331732
1565888806.1330001,2.327427,2.338705
1565888816.933,2.314003,2.331694
1565888832.533,2.327408,2.338748
1565888843.333,2.313986,2.331582
1565888860.1330001,2.327411,2.338734
1565888869.733,2.314011,2.331629
1565888886.533,2.3274,2.338704
1565888897.333,2.314019,2.331639
1565888912.933,2.327412,2.338773
1565888923.733,2.313999,2.331705
1565888939.333,2.327421,2.338746
1565888950.1330001,2.313998,2.331595
1565888966.933,2.32739,2.338732
1565888977.733,2.313982,2.331637
1565888993.333,2.327399,2.338729
1565889004.1330001,2.314028,2.331617
1565889019.733,2.327419,2.33865
1565889030.533,2.314027,2.331734
1565889047.333,2.327411,2.3387
1565889056.933,2.314013,2.331543
